Client count: 5, node version: 0.8.1, server version: 2.4.2, parser: faster
         PING,     1/5 min/max/avg/p95:    0/   4/   0.05/   1.00   1127ms total, 17746.23 ops/sec
SET large buf,   200/5 min/max/avg/p95:    1/  24/  11.50/  18.00   1155ms total, 17316.02 ops/sec
SET large buf, 20000/5 min/max/avg/p95:  121/1202/ 681.94/1128.10   1208ms total, 16556.29 ops/sec
GET large str,     1/5 min/max/avg/p95:    0/   1/   0.06/   1.00   1295ms total, 15444.02 ops/sec
GET large str,    50/5 min/max/avg/p95:    0/   4/   1.24/   2.00    498ms total, 40160.64 ops/sec
GET large str,   200/5 min/max/avg/p95:    0/  12/   4.97/   9.00    499ms total, 40080.16 ops/sec
GET large str, 20000/5 min/max/avg/p95:  233/ 328/ 281.25/ 317.00    530ms total, 37735.85 ops/sec
GET large buf,     1/5 min/max/avg/p95:    0/   3/   0.06/   1.00   1312ms total, 15243.90 ops/sec
GET large buf,    50/5 min/max/avg/p95:    0/   9/   1.28/   2.00    512ms total, 39062.50 ops/sec
GET large buf,   200/5 min/max/avg/p95:    0/  21/   5.70/  14.00    572ms total, 34965.03 ops/sec
GET large buf, 20000/5 min/max/avg/p95:  220/ 316/ 265.73/ 297.00    500ms total, 40000.00 ops/sec
         INCR,     1/5 min/max/avg/p95:    0/  11/   0.06/   1.00   1182ms total, 16920.47 ops/sec
         INCR,    50/5 min/max/avg/p95:    0/   3/   0.90/   2.00    360ms total, 55555.56 ops/sec
         INCR,   200/5 min/max/avg/p95:    1/  10/   3.42/   6.00    344ms total, 58139.53 ops/sec
         INCR, 20000/5 min/max/avg/p95:   29/ 271/ 153.25/ 246.00    280ms total, 71428.57 ops/sec
        LPUSH,     1/5 min/max/avg/p95:    0/   2/   0.06/   1.00   1186ms total, 16863.41 ops/sec
        LPUSH,    50/5 min/max/avg/p95:    0/   3/   0.92/   2.00    369ms total, 54200.54 ops/sec
        LPUSH,   200/5 min/max/avg/p95:    0/   7/   3.48/   6.00    350ms total, 57142.86 ops/sec
        LPUSH, 20000/5 min/max/avg/p95:   30/ 278/ 152.72/ 253.10    283ms total, 70671.38 ops/sec
    LRANGE 10,     1/5 min/max/avg/p95:    0/   3/   0.07/   1.00   1441ms total, 13879.25 ops/sec
    LRANGE 10,    50/5 min/max/avg/p95:    0/   3/   1.20/   2.00    482ms total, 41493.78 ops/sec
    LRANGE 10,   200/5 min/max/avg/p95:    0/   9/   4.68/   8.00    470ms total, 42553.19 ops/sec
    LRANGE 10, 20000/5 min/max/avg/p95:   49/ 377/ 217.71/ 336.55    403ms total, 49627.79 ops/sec
   LRANGE 100,     1/5 min/max/avg/p95:    0/   1/   0.15/   1.00   2975ms total,  6722.69 ops/sec
   LRANGE 100,    50/5 min/max/avg/p95:    0/  12/   3.29/   5.00   1317ms total, 15186.03 ops/sec
   LRANGE 100,   200/5 min/max/avg/p95:    0/  34/  13.23/  26.00   1329ms total, 15048.91 ops/sec
   LRANGE 100, 20000/5 min/max/avg/p95:  207/ 730/ 489.75/ 715.00    952ms total, 21008.40 ops/sec
End of tests.
